2010	H	MEXICANA	MÉXICO	BAJACALIFORNIA	3/6/1991	19	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	BAJACALIFORNIA	3/21/1991	19	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	BAJACALIFORNIA	4/16/1991	19	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	BAJACALIFORNIA	5/5/1991	19	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	BAJACALIFORNIA	5/31/1991	19	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	BAJACALIFORNIA	7/8/1991	19	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	BAJACALIFORNIA	8/19/1991	19	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	BAJACALIFORNIA	9/10/1991	19	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	BAJACALIFORNIA	12/29/1991	18	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	BAJACALIFORNIA	1/25/1992	18	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	BAJACALIFORNIA	2/8/1992	18	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	BAJACALIFORNIA	4/4/1992	18	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	BAJACALIFORNIA	11/2/1992	17	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	BAJACALIFORNIA	1/5/1993	17	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	BAJACALIFORNIA	9/9/1993	17	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	BAJACALIFORNIA	1/2/1994	16	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	BAJACALIFORNIA	4/2/1994	16	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	BAJACALIFORNIA	5/16/1994	16	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	BAJACALIFORNIA	9/20/1994	16	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	BAJACALIFORNIA	5/26/1995	15	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	BAJACALIFORNIA	11/13/1995	14	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	BAJACALIFORNIASUR	3/20/1986	24	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	4/4/1980	30	COMPLETO
2010	H	MEXICANA	MÉXICO	CAMPECHE	5/22/1980	30	COMPLETO
2010	H	MEXICANA	MÉXICO	CAMPECHE	10/12/1980	29	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	1/30/1981	29	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	11/17/1982	27	COMPLETO
2010	H	MEXICANA	MÉXICO	CAMPECHE	9/7/1984	26	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	12/26/1984	25	COMPLETO
2010	H	MEXICANA	MÉXICO	CAMPECHE	1/28/1985	25	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	3/3/1985	25	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	10/6/1985	24	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	11/2/1986	23	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	12/22/1986	23	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	8/21/1987	23	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	1/14/1988	22	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	2/20/1988	22	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	4/7/1988	22	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	6/28/1988	22	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	9/3/1988	22	COMPLETO
2010	H	MEXICANA	MÉXICO	CAMPECHE	10/20/1988	21	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	10/23/1988	21	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	11/18/1988	21	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	11/29/1988	21	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	12/8/1988	21	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	12/9/1988	21	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	4/3/1989	21	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	4/21/1989	21	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	5/4/1989	21	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	7/6/1989	21	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	10/3/1989	20	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	1/9/1990	20	BECADO EXTERNO
